RXN_id,Pathway,Bruceine_D,Emodin,Scutellarein,DMSO
HMR_1944,"Androgen and estrogen synthesis and metabolism",0,0,0,1
HMR_1958,"Androgen and estrogen synthesis and metabolism",0,0,0,1
HMR_1962,"Androgen and estrogen synthesis and metabolism",1,0,1,0
HMR_1968,"Androgen and estrogen synthesis and metabolism",0,0,0,1
HMR_1971,"Androgen and estrogen synthesis and metabolism",0,0,0,1
HMR_1976,"Androgen and estrogen synthesis and metabolism",0,0,0,1
HMR_2014,"Androgen and estrogen synthesis and metabolism",0,0,0,1
HMR_2016,"Androgen and estrogen synthesis and metabolism",0,1,1,1
HMR_2018,"Androgen and estrogen synthesis and metabolism",0,1,1,1
HMR_2029,"Androgen and estrogen synthesis and metabolism",0,0,0,1
HMR_2088,"Androgen and estrogen synthesis and metabolism",1,1,1,1
HMR_2089,"Androgen and estrogen synthesis and metabolism",1,1,1,1
RE2235R,"Androgen and estrogen synthesis and metabolism",0,0,0,1
HMR_0942,"Arachidonic acid metabolism",1,1,1,1
HMR_0946,"Arachidonic acid metabolism",1,1,1,1
HMR_0950,"Arachidonic acid metabolism",1,1,1,1
HMR_0954,"Arachidonic acid metabolism",1,1,1,1
HMR_0960,"Arachidonic acid metabolism",1,1,1,1
HMR_0963,"Arachidonic acid metabolism",1,1,1,1
HMR_0979,"Arachidonic acid metabolism",1,0,0,0
HMR_0980,"Arachidonic acid metabolism",1,0,0,0
HMR_0981,"Arachidonic acid metabolism",1,0,0,0
RE3476C,"Arachidonic acid metabolism",1,0,0,0
RE3525M,"Arachidonic acid metabolism",1,1,1,1
AKR1C41,"Bile acid synthesis",0,1,0,0
AKR1D,"Bile acid synthesis",0,1,0,1
AKR1D2,"Bile acid synthesis",0,0,0,1
AMACR2p,"Bile acid synthesis",1,1,0,1
BAAT3x,"Bile acid synthesis",1,1,0,1
HC02195te,"Bile acid synthesis",0,1,0,0
HC02196te,"Bile acid synthesis",0,1,0,0
HMR_1627,"Bile acid synthesis",0,1,0,1
HMR_1635,"Bile acid synthesis",0,0,0,1
HMR_1637,"Bile acid synthesis",0,0,0,1
HMR_1653,"Bile acid synthesis",0,1,0,1
HMR_1766,"Bile acid synthesis",0,1,0,0
HMR_1767,"Bile acid synthesis",0,1,0,0
HMR_1768,"Bile acid synthesis",0,1,0,0
HMR_1770,"Bile acid synthesis",0,1,0,0
HSD3B7P,"Bile acid synthesis",0,1,0,1
P45027A14m,"Bile acid synthesis",0,0,0,1
P4507A1r,"Bile acid synthesis",0,1,0,1
P4508B13r,"Bile acid synthesis",0,0,0,1
RE1796M,"Bile acid synthesis",1,1,1,1
RE1796R,"Bile acid synthesis",0,1,0,0
RE1803C,"Bile acid synthesis",0,1,0,0
RE1804C,"Bile acid synthesis",1,1,1,1
RE1804M,"Bile acid synthesis",0,0,0,1
RE1807M,"Bile acid synthesis",0,0,0,1
